name,url
Refections,https://swiggy.com/restaurants/refections-gautam-nagar-delhi-52383
SHRI HARI VEGETARIAN RESTAURANT,https://swiggy.com/restaurants/shri-hari-vegetarian-restaurant-lajpat-nagar-delhi-255223
Punjab Grill - Urban Punjabi Dhaba,https://swiggy.com/restaurants/punjab-grill-urban-punjabi-dhaba-bhikaji-cama-place-rama-krishna-puram-delhi-334235
Indian Culinaire ,https://swiggy.com/restaurants/indian-culinaire-bhikaji-cama-place-rama-krishna-puram-delhi-334609
Homefood Company,https://swiggy.com/restaurants/homefood-company-block-o-ii-lajpat-nagar-delhi-48647
TukTuk - Asian on Wheels,https://swiggy.com/restaurants/tuktuk-asian-on-wheels-south-extension-south-extension-ii-delhi-220238
Juicy Lucy Burgers,https://swiggy.com/restaurants/juicy-lucy-burgers-kirti-nagar-delhi-424197
Oh! Pind,https://swiggy.com/restaurants/oh-pind-gtb-nagar-delhi-465198
Indus Flavour,https://swiggy.com/restaurants/indus-flavour-gtb-nagar-g-t-karnal-road-delhi-207081
Xero degrees,https://swiggy.com/restaurants/xero-degrees-gtb-nagar-vijay-nagar-delhi-213516
Flavours by ITC Hotels,https://swiggy.com/restaurants/flavours-by-itc-hotels-south-campus-chanakyapuri-delhi-284153
Kulfi Bistro (Box Of Delights),https://swiggy.com/restaurants/kulfi-bistro-box-of-delights-lajpat-nagar-hauz-khas-delhi-470823
Bistro Shakes 97,https://swiggy.com/restaurants/bistro-shakes-97-vijay-nagar-kalyan-vihar-delhi-186784
Cake Palace,https://swiggy.com/restaurants/cake-palace-south-extension-2-delhi-20496
Bistro Shakes 97,https://swiggy.com/restaurants/bistro-shakes-97-vijay-nagar-kalyan-vihar-delhi-186784
Cake Palace,https://swiggy.com/restaurants/cake-palace-south-extension-2-delhi-20496
"Classic Juice,Shakes & Mocktails",https://swiggy.com/restaurants/classic-juice-shakes-and-mocktails-vijay-nagar-kalyan-vihar-delhi-155976
Mazaar Restaurant,https://swiggy.com/restaurants/mazaar-restaurant-lajpat-nagar-delhi-534650
Shagun,https://swiggy.com/restaurants/shagun-vijay-nagar-hudson-lane-delhi-30705
Food Bus of India,https://swiggy.com/restaurants/food-bus-of-india-gtb-nagar-delhi-493700
Bengal Sweet Corner,https://swiggy.com/restaurants/bengal-sweet-corner-safdarjung-enclave-delhi-17085
Hong Kong Express,https://swiggy.com/restaurants/hong-kong-express-dda-market-lajpat-nagar-delhi-11803
Parantha On Call,https://swiggy.com/restaurants/parantha-on-call-laxmi-nagar-delhi-34206
The Spicy No.1,https://swiggy.com/restaurants/the-spicy-no-1-west-patel-nagar-delhi-526151
Bombay Bhelpuri,https://swiggy.com/restaurants/bombay-bhelpuri-south-extension-south-extension-i-delhi-5671
Relax Restaurant,https://swiggy.com/restaurants/relax-restaurant-market-lajpat-nagar-delhi-11814
MoonMoon - Juicy Crustwiches,https://swiggy.com/restaurants/moonmoon-juicy-crustwiches-lajpat-nagar-delhi-371897
GUPTA'S VEGETARIAN PARADISE,https://swiggy.com/restaurants/guptas-vegetarian-paradise-south-extension-delhi-387833
Raju Chat Bhandar (bharat nagar),https://swiggy.com/restaurants/raju-chat-bhandar-bharat-nagar-ashok-vihar-delhi-544112
AZUKI - Soulful Asian Experience,https://swiggy.com/restaurants/azuki-soulful-asian-experience-south-extension-delhi-433479
Badmash Biryani,https://swiggy.com/restaurants/badmash-biryani-south-extension-delhi-451888
Mr Crust Bakers,https://swiggy.com/restaurants/mr-crust-bakers-gtb-nagar-vijay-nagar-delhi-7606
Shack Foods,https://swiggy.com/restaurants/shack-foods-kotla-mubarakpur-south-extension-i-delhi-24944
Rolls Mania,https://swiggy.com/restaurants/rolls-mania-laxmi-nagar-delhi-564923
Bengali Sweet Center,https://swiggy.com/restaurants/bengali-sweet-center-south-extension-south-extension-i-delhi-9412
Nagpal Di Hatti (Gandhi Nagar),https://swiggy.com/restaurants/nagpal-di-hatti-gandhi-nagar-geeta-colony-delhi-98352
Artiste Handcrafted Ice Cream,https://swiggy.com/restaurants/artiste-handcrafted-ice-cream-lajpat-nagar-delhi-427034
ANNA DOSA SOUTH INDIAN,https://swiggy.com/restaurants/anna-dosa-south-indian-lajpat-nagar-delhi-321237
Moets Curry Leaf,https://swiggy.com/restaurants/moets-curry-leaf-defence-colony-delhi-5999
Mehfil,https://swiggy.com/restaurants/mehfil-defence-colony-south-extension-i-delhi-20141
Defence Bakery,https://swiggy.com/restaurants/defence-bakery-defence-colony-delhi-457482
Matka Cha Do Rusk by Cha Pata Tea,https://swiggy.com/restaurants/matka-cha-do-rusk-by-cha-pata-tea-laxmi-nagar-delhi-510384
SRI BALAJI ANNA DOSA,https://swiggy.com/restaurants/sri-balaji-anna-dosa-lajpat-nagar-delhi-550955
The Brooklyn Creamery - Healthy Ice Cream,https://swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-laxmi-nagar-shakarpur-khas-delhi-367660
Rollz Karvaan,https://swiggy.com/restaurants/rollz-karvaan-malviya-nagar-preet-vihar-delhi-526313
PRIYANSHI SOUTH INDIAN FAST FOODPOINT,https://swiggy.com/restaurants/priyanshi-south-indian-fast-foodpoint-laxmi-nagar-delhi-361928
Nufeast,https://swiggy.com/restaurants/nufeast-karol-bagh-rajinder-nagar-delhi-341588
New Om Snacks,https://swiggy.com/restaurants/new-om-snacks-karol-bagh-krishna-nagar-karol-bagh-delhi-44988
